Android application is debugging.
Loaded assembly: /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/XamarinForms_ListviewSelection.Droid.dll
Loaded assembly: /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/FormsViewGroup.dll [External]
02-12 15:43:54.805 D/Mono    ( 4064): AOT: image '/usr/local/lib/mono/aot-cache/x86/FormsViewGroup.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-FormsViewGroup.dll.so" not found
02-12 15:43:54.805 D/Mono    ( 4064): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/FormsViewGroup.dll'.
02-12 15:43:54.805 D/Mono    ( 4064): Config attempting to parse: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/FormsViewGroup.dll.config'.
02-12 15:43:54.805 D/Mono    ( 4064): Config attempting to parse: '/usr/local/etc/mono/assemblies/FormsViewGroup/FormsViewGroup.config'.
02-12 15:43:54.805 D/Mono    ( 4064): Assembly Loader probing location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Animated.Vector.Drawable.dll'.
02-12 15:43:54.805 D/Mono    ( 4064): Image addref Xamarin.Android.Support.Animated.Vector.Drawable[0xa3b1e640] -> /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Animated.Vector.Drawable.dll[0xa3115700]: 2
02-12 15:43:54.806 D/Mono    ( 4064): Prepared to set up assembly 'Xamarin.Android.Support.Animated.Vector.Drawable' (/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Animated.Vector.Drawable.dll)
02-12 15:43:54.806 D/Mono    ( 4064): Assembly Xamarin.Android.Support.Animated.Vector.Drawable[0xa3b1e640] added to domain RootDomain, ref_count=1
02-12 15:43:54.806 D/Mono    ( 4064): AOT: image '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Animated.Vector.Drawable.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Animated.Vector.Drawable.dll.so" not found
02-12 15:43:54.807 D/Mono    ( 4064): AOT: image '/usr/local/lib/mono/aot-cache/x86/Xamarin.Android.Support.Animated.Vector.Drawable.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Animated.Vector.Drawable.dll.so" not found
02-12 15:43:54.807 D/Mono    ( 4064): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Animated.Vector.Drawable.dll'.
02-12 15:43:54.807 D/Mono    ( 4064): Config attempting to parse: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Animated.Vector.Drawable.dll.config'.
02-12 15:43:54.807 D/Mono    ( 4064): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.Animated.Vector.Drawable/Xamarin.Android.Support.Animated.Vector.Drawable.config'.
02-12 15:43:54.807 D/Mono    ( 4064): Assembly Loader probing location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Annotations.dll'.
02-12 15:43:54.807 D/Mono    ( 4064): Image addref Xamarin.Android.Support.Annotations[0xa3b1e820] -> /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Annotations.dll[0xa3115c00]: 2
02-12 15:43:54.807 D/Mono    ( 4064): Prepared to set up assembly 'Xamarin.Android.Support.Annotations' (/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Annotations.dll)
02-12 15:43:54.807 D/Mono    ( 4064): Assembly Xamarin.Android.Support.Annotations[0xa3b1e820] added to domain RootDomain, ref_count=1
02-12 15:43:54.808 D/Mono    ( 4064): AOT: image '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Annotations.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Annotations.dll.so" not found
02-12 15:43:54.808 D/Mono    ( 4064): AOT: image '/usr/local/lib/mono/aot-cache/x86/Xamarin.Android.Support.Annotations.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Annotations.dll.so" not found
02-12 15:43:54.808 D/Mono    ( 4064): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Annotations.dll'.
02-12 15:43:54.808 D/Mono    ( 4064): Config attempting to parse: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Annotations.dll.config'.
02-12 15:43:54.809 D/Mono    ( 4064): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.Annotations/Xamarin.Android.Support.Annotations.config'.
02-12 15:43:54.809 D/Mono    ( 4064): Assembly Loader probing location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Compat.dll'.
02-12 15:43:54.810 D/Mono    ( 4064): Image addref Xamarin.Android.Support.Compat[0xa3b1e880] -> /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Compat.dll[0xa3116100]: 2
02-12 15:43:54.810 D/Mono    ( 4064): Prepared to set up assembly 'Xamarin.Android.Support.Compat' (/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Compat.dll)
02-12 15:43:54.810 D/Mono    ( 4064): Assembly Xamarin.Android.Support.Compat[0xa3b1e880] added to domain RootDomain, ref_count=1
02-12 15:43:54.811 D/Mono    ( 4064): AOT: image '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Compat.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Compat.dll.so" not found
02-12 15:43:54.811 D/Mono    ( 4064): AOT: image '/usr/local/lib/mono/aot-cache/x86/Xamarin.Android.Support.Compat.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Compat.dll.so" not found
02-12 15:43:54.811 D/Mono    ( 4064): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Compat.dll'.
02-12 15:43:54.811 D/Mono    ( 4064): Config attempting to parse: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Compat.dll.config'.
Loaded assembly: /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Animated.Vector.Drawable.dll [External]02-12 15:43:54.811 D/Mono    ( 4064): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.Compat/Xamarin.Android.Support.Compat.config'.

02-12 15:43:54.811 D/Mono    ( 4064): Assembly Loader probing location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.UI.dll'.
02-12 15:43:54.812 D/Mono    ( 4064): Image addref Xamarin.Android.Support.Core.UI[0xa3b1e8e0] -> /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.UI.dll[0xa3116600]: 2
02-12 15:43:54.812 D/Mono    ( 4064): Prepared to set up assembly 'Xamarin.Android.Support.Core.UI' (/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.UI.dll)
02-12 15:43:54.812 D/Mono    ( 4064): Assembly Xamarin.Android.Support.Core.UI[0xa3b1e8e0] added to domain RootDomain, ref_count=1
